Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer,FullCharacteristicName,Acute,Chronic
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07116500,"HUERFANO RIVER NEAR BOONE, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020006.0,110200060907.0,,,38.2250024114561,-104.260799583907,NAD83,38.2250024114561,-104.260799583907,NAD83,,6d832417-7058-4274-8ae3-2d7f8c1cf6dd,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2005-08-10,11:00:00,MDT,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,791ce293-dfd0-4718-b47c-a7e7a473380f,0.04,ft3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07133000,"ARKANSAS RIVER AT LAMAR, CO",Stream,,Colorado,United States of America,Prowers County,US,CO,,11020009.0,110200091406.0,,,38.1057916666667,-102.618205555556,NAD83,38.1057916666667,-102.618205555556,NAD83,,76ddb537-ff4a-4583-b57e-faa524cec5c4,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2005-11-01,14:45:00,MST,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,31cea4f7-e2a7-4b0c-babf-cbfa0167565a,0.41,m3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07120500,"ARKANSAS RIVER NEAR ROCKY FORD, CO.",Stream,,Colorado,United States of America,Otero County,US,CO,,11020005.0,110200050705.0,,,38.065285585145,-103.686059293693,NAD83,38.065285585145,-103.686059293693,NAD83,,e6a31e0e-66f3-4e78-b816-1f2c42901871,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2010-07-08,12:05:00,MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,31ce68aa-9232-4081-a427-dd3cf2e36b05,634.0,ft3/sec,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07116500,"HUERFANO RIVER NEAR BOONE, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020006.0,110200060907.0,,,38.2250024114561,-104.260799583907,NAD83,38.2250024114561,-104.260799583907,NAD83,,d247efff-c5e7-4f0c-a58f-ef5b0f4e95f0,,"Sample - Routine, unspecified",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1995-04-28,11:40:00,MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Not Determined (historical),,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,63f7205d-3c24-48fa-b27a-91ec072e178d,22.0,ft3/sec,,Historical,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS"",""00D2P9900""]",,,,,,USGS-07124000,"ARKANSAS RIVER AT LAS ANIMAS, CO.",Stream,,Colorado,United States of America,Bent County,US,CO,,11020009.0,110200090701.0,,,38.0808399380209,-103.219652257512,NAD83,38.0808399380209,-103.219652257512,NAD83,,5159e01f-0374-4433-88ca-0616df640c1c,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2019-01-30,11:15:00,MST,,,,,,,,,,,,40.0,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Other,,,,,,,,,,,,,"Stable, low stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,df3ea6df-61b2-4815-a0d8-a156b21b8da0,4.4,m3/sec,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07128500,"PURGATOIRE RIVER NEAR LAS ANIMAS, CO",Stream,,Colorado,United States of America,Bent County,US,CO,,11020010.0,110200101904.0,,,38.0342222222222,-103.201416666667,NAD83,38.0342222222222,-103.201416666667,NAD83,,d09ea351-d219-48d6-972f-c29617c850e8,,"Sample - Routine, unspecified",Water,Surface water,,,,,,,,,,,,,,,,,1994-10-06,12:50:00,MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Not Determined (historical),,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,7eceaff8-4532-4c4b-bb37-da517898aeeb,37.0,ft3/sec,,Historical,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07134180,"ARKANSAS RIVER NEAR GRANADA, CO.",Stream,,Colorado,United States of America,Prowers County,US,CO,,11020009.0,110200091505.0,,,38.0955649247054,-102.310745257598,NAD83,38.0955649247054,-102.310745257598,NAD83,,87c0e95e-5d23-4585-aff0-0255c73bd058,,"Sample - Routine, unspecified",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1999-01-20,14:40:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Not Determined (historical),,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,90dc9d96-5097-4544-9ce1-1eaed317fae8,4.5,m3/sec,,Historical,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS"",""000034100""]",,,,,,USGS-07108900,"ST. CHARLES RIVER AT VINELAND, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200021201.0,,,38.245558348539,-104.486359722503,NAD83,38.245558348539,-104.486359722503,NAD83,,a8c03e58-485d-4e89-a3fb-3bf3b94af58d,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2015-06-25,10:45:00,MDT,,,,,,,,,,,,15.0,USDOI/USGS,"EWT, multiple verticals",,"Depth-integrated: 10 or more equal-width verticals, non-isokinetic transit rate limited by velocity (EWT)",Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,3caaa500-6a7c-4fbf-81d4-5f39a614faf3,2.7,m3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS"",""00UN40900""]",,,,,,USGS-07119700,"ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO.",Stream,,Colorado,United States of America,Otero County,US,CO,,11020005.0,110200050701.0,,,38.12583934021,-103.911900595139,NAD83,38.12583934021,-103.911900595139,NAD83,,06fd98e4-e447-4ebc-8f22-16d547f6e2b5,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2023-07-19,10:10:00,MDT,,,,,,,,,,,,50.0,USDOI/USGS,Point sample,,Point / Grab: Point sample,"US DH-81, Teflon cap and nozzle",,,,,,,,,,,,,"Stable, high stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,04885631-0735-4c17-9a6d-e071a528b170,13.0,m3/sec,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07133000,"ARKANSAS RIVER AT LAMAR, CO",Stream,,Colorado,United States of America,Prowers County,US,CO,,11020009.0,110200091406.0,,,38.1057916666667,-102.618205555556,NAD83,38.1057916666667,-102.618205555556,NAD83,,553794c6-6f40-42e6-b76d-5f06fd4aeb3e,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2003-03-07,07:25:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,5e679592-7986-4468-a93c-2b82f193e67f,0.15,m3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS"",""000034A00""]",,,,,,USGS-07108900,"ST. CHARLES RIVER AT VINELAND, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200021201.0,,,38.245558348539,-104.486359722503,NAD83,38.245558348539,-104.486359722503,NAD83,,c713efe1-c2e1-4da1-b564-b30fe13d195a,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2010-11-12,12:20:00,MST,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),Other,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,78f3a9d5-2776-49bd-8bdb-53395c1e88da,7.1,ft3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07108900,"ST. CHARLES RIVER AT VINELAND, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002.0,110200021201.0,,,38.245558348539,-104.486359722503,NAD83,38.245558348539,-104.486359722503,NAD83,,329efa02-64cb-447e-a211-05e24b7f5041,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1991-01-02,15:15:00,MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,45f019c0-5690-41c7-a86b-2e8af3da8fe4,0.51,m3/sec,,Historical,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS"",""460800342""]",,,,,,USGS-07106500,"FOUNTAIN CREEK AT PUEBLO, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020003.0,110200030407.0,,,38.2877801274775,-104.601084903374,NAD83,38.2877801274775,-104.601084903374,NAD83,,f3ec0aa9-4489-485c-a205-e53dfc5e5594,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,"A-1780054 omit call-ins for specific conductance and ph,lab code 2359",,,,,,,,,,,,2002-06-24,10:30:00,MDT,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,d432ec6e-fd63-41b5-b1a2-0e29b044ab05,34.0,ft3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS"",""000034100""]",,,,,,USGS-07116500,"HUERFANO RIVER NEAR BOONE, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020006.0,110200060907.0,,,38.2250024114561,-104.260799583907,NAD83,38.2250024114561,-104.260799583907,NAD83,,1ab713ca-9b7c-4105-bffc-16cdabdf7671,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2014-07-16,14:15:00,MDT,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,43e063dd-d79f-432b-81f4-b7ba6275abe2,24.0,ft3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07128500,"PURGATOIRE RIVER NEAR LAS ANIMAS, CO",Stream,,Colorado,United States of America,Bent County,US,CO,,11020010.0,110200101904.0,,,38.0342222222222,-103.201416666667,NAD83,38.0342222222222,-103.201416666667,NAD83,,55d34dab-0851-480a-9b7b-36934ac37be3,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2008-05-06,12:05:00,MDT,,,,,,,,,,,,40.0,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,073e5eca-bab6-40dd-915d-c9752cad9097,0.32,m3/sec,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07133000,"ARKANSAS RIVER AT LAMAR, CO",Stream,,Colorado,United States of America,Prowers County,US,CO,,11020009.0,110200091406.0,,,38.1057916666667,-102.618205555556,NAD83,38.1057916666667,-102.618205555556,NAD83,,286eac21-e05c-4702-a7ce-2c2d554aca19,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2004-05-11,09:15:00,MDT,,,,,,,,,,,,10.0,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,3f0b7e60-a171-484b-a599-1218881002d5,27.0,ft3/sec,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-07124000,"ARKANSAS RIVER AT LAS ANIMAS, CO.",Stream,,Colorado,United States of America,Bent County,US,CO,,11020009.0,110200090701.0,,,38.0808399380209,-103.219652257512,NAD83,38.0808399380209,-103.219652257512,NAD83,,85215276-9590-40fd-8b2d-f70ec950047f,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,1993-07-27,13:20:00,MDT,,,,,,,,,,,,50.0,USDOI/USGS,Point sample,,Point / Grab: Point sample,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,18b0834a-4d44-4fd1-be2a-f318d09923e0,25.0,m3/sec,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,30209.0,,"Stream flow, instantaneous",,
USGS,U.S. Geological Survey,"[""USGS"",""000044A00""]",,,,,,USGS-07106500,"FOUNTAIN CREEK AT PUEBLO, CO.",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020003.0,110200030407.0,,,38.2877801274775,-104.601084903374,NAD83,38.2877801274775,-104.601084903374,NAD83,,f1ce9763-64fb-447d-befb-391ba1202b38,,Sample - Time composite,Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2021-07-21,15:05:00,MDT,2021-07-21,15:08:00,MDT,,,,,,,,,15.0,USDOI/USGS,"EWT, multiple verticals",,"Depth-integrated: 10 or more equal-width verticals, non-isokinetic transit rate limited by velocity (EWT)",US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Flow,"Discharge, instantaneous",,,,,,,,,,,,,,,,,,,,,,9a8f2615-73b5-4881-9e43-83a490e4d870,74.0,ft3/sec,,Provisional,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,QSTGQ,USDOI/USGS,"Discharge, stg-disch rating",,"DESCRIPTION: Discharge, stage-discharge rating curve method; CITATION(S): Kennedy, E.J., 1984, Discharge ratings at gaging stations: U.S. Geological Survey Techniques of Water-Resources Investigations, book 3, chap. A10, 59 p.",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,61.0,,"Stream flow, instantaneous",,
